0.4799998, 0, 0, 15.85059, 4.529256, 0, 476.2803, -1272.454, -5.798054, 0.01928791, 0.1567104, 27.89206, 2.92007, 2.680418, 106.8379
1.089999, -0.03425914, -0.01689458, 33.28877, 5.22656, 0.3061871172806668914776779975, 2914.799, -1276.47, -5.798054, 0.01928791, 0.1567104, 69.08294, 2.92007, 2.671167, 108.6489
 
1.099999, -0.03426474, -0.01723717, 33.59973, 5.239053, 0.30089435007904732181458, 2976.988, -1276.537, -5.798054, 0.01928791, 0.1567104, 69.81799, 2.92007, 2.671015, 108.6786
 
1.109999, -0.0342566, -0.01757982, 33.91103, 5.251108, 0.29564981202646433103186, 3039.999, -1276.604, -5.798054, 0.01928791, 0.1567104, 70.55503, 2.92007, 2.670863, 108.7083
 
1.119999, -0.03423421, -0.01792239, 34.22268, 5.262726, 0.29045055699842823483084, 3103.834, -1276.672, -5.798054, 0.01928791, 0.1567104, 71.29404, 2.92007, 2.670712, 108.738
 
1.129999, -0.03419719, -0.01826473, 34.53558, 5.274793, 0.2852950573748338367678, 3168.506, -1276.739, -5.798054, 0.01928791, 0.1567104, 72.03506, 2.92007, 2.67056, 108.7677
 
1.139999, -0.03414542, -0.0186067, 34.84929, 5.286866, 0.28018276757707213811284, 3234.018, -1276.806, -5.798054, 0.01928791, 0.1567104, 72.7781, 2.92007, 2.670408, 108.7974
 
1.149999, -0.03407833, -0.01894815, 35.16423, 5.299391, 0.2751107414806556368817179975, 3300.373, -1276.874, -5.798054, 0.01928791, 0.1567104, 73.52314, 2.92007, 2.670257, 108.8271
 
1.159999, -0.03399569, -0.01928894, 35.47908, 5.311029, 0.2700777788126412623970, 3367.576, -1276.941, -5.798054, 0.01928791, 0.1567104, 74.27016, 2.92007, 2.670105, 108.8568
 
1.169999, -0.03389724, -0.0196289, 35.79562, 5.323566, 0.2650835522258668888924, 3435.636, -1277.008, -5.798054, 0.01928791, 0.1567104, 75.01921, 2.92007, 2.669953, 108.8865
 
1.179999, -0.03378257, -0.01996787, 36.11254, 5.335661, 0.26012522471156463181522, 3504.563, -1277.076, -5.798054, 0.01928791, 0.1567104, 75.77034, 2.92007, 2.669802, 108.9162
 
1.189999, -0.03365146, -0.02030569, 36.43024, 5.347766, 0.25520279626973449116546, 3574.351, -1277.143, -5.798054, 0.01928791, 0.1567104, 76.52343, 2.92007, 2.66965, 108.9458
 
1.199999, -0.03350357, -0.02064221, 36.74874, 5.359874, 0.25031517574315846948332, 3645.01, -1277.211, -5.798054, 0.01928791, 0.1567104, 77.27854, 2.92007, 2.669498, 108.9755
 
1.209999, -0.03333835, -0.02097724, 37.06805, 5.371989, 0.24545952612306977337332, 3716.547, -1277.278, -5.798054, 0.01928791, 0.1567104, 78.03567, 2.92007, 2.669347, 109.0052
 
1.219999, -0.0331557, -0.02131063, 37.38816, 5.384109, 0.2406361747566338020734, 3788.969, -1277.346, -5.798054, 0.01928791, 0.1567104, 78.79485, 2.92007, 2.669195, 109.0349
 
1.229999, -0.03295514, -0.02164218, 37.70929, 5.396458, 0.23584370313946715888582, 3862.276, -1277.413, -5.798054, 0.01928791, 0.1567104, 79.55602, 2.92007, 2.669044, 109.0646
 
1.239999, -0.0327367, -0.02197174, 38.031, 5.40859, 0.23108254773445704279450, 3936.476, -1277.481, -5.798054, 0.01928791, 0.1567104, 80.31921, 2.92007, 2.668892, 109.0943
 
1.249999, -0.03249976, -0.0222991, 38.35352, 5.420728, 0.22635008976428025989592, 4011.578, -1277.549, -5.798054, 0.01928791, 0.1567104, 81.08446, 2.92007, 2.66874, 109.124
 
1.259999, -0.03224416, -0.0226241, 38.67706, 5.433094, 0.2216464383446597010932779975, 4087.586, -1277.617, -5.798054, 0.01928791, 0.1567104, 81.85175, 2.92007, 2.668589, 109.1537
 
1.269999, -0.03196956, -0.02294654, 39.00117, 5.445244, 0.2169707205498166037898620025, 4164.501, -1277.684, -5.798054, 0.01928791, 0.1567104, 82.62103, 2.92007, 2.668437, 109.1833
 
1.279999, -0.0316757, -0.02326624, 39.3261, 5.457403, 0.2123220634539842081183579975, 4242.333, -1277.752, -5.798054, 0.01928791, 0.1567104, 83.39236, 2.92007, 2.668285, 109.213
 
1.289999, -0.03136201, -0.02358299, 39.65228, 5.470008, 0.2076992667842139876152420025, 4321.091, -1277.82, -5.798054, 0.01928791, 0.1567104, 84.16578, 2.92007, 2.668134, 109.2427
 
1.299999, -0.03102868, -0.02389661, 39.97884, 5.482178, 0.20310265788767897961898, 4400.778, -1277.888, -5.798054, 0.01928791, 0.1567104, 84.94125, 2.92007, 2.667982, 109.2724
 
